,business_id,name,address,city,state,latitude,longitude,stars,review_count,is_open,categories,BusinessAcceptsCreditCards,BikeParking,GoodForKids,ByAppointmentOnly,RestaurantsPriceRange2,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday
3070,HGtJeZ5ifqRwknvsBlB8fQ,Tocayo Taqueria & Tequila,810 Ivy St,Pittsburgh,PA,40.451213,-79.932284,4.5,94,1,"Tacos, Mexican, Restaurants, Lounges, Nightlife, Bars",TRUE,,,,2,0:0-0:0,11:0-22:0,11:0-22:0,11:0-22:0,11:0-23:0,11:0-23:0,11:0-21:0
3258,_EGWxiD27k3ahcFpmbSjQg,Great Wall Chinese Food,243 Brownsville Rd,Pittsburgh,PA,40.4147164,-79.9875146,3.5,4,0,"Restaurants, Chinese",TRUE,TRUE,,,1,11:0-22:30,11:0-22:30,11:0-22:30,11:0-22:30,11:0-23:0,11:0-23:0,12:0-22:0
3325,3eexaenBq8HvkTiYjVl3Pg,McKnight Kitchen,4860 McKnight Rd,Pittsburgh,PA,40.52945312,-80.00841481,3.5,115,1,"Sushi Bars, Asian Fusion, Thai, Restaurants",TRUE,TRUE,TRUE,,2,11:30-22:0,11:30-22:0,11:30-22:0,11:30-22:0,11:30-22:0,11:30-22:0,11:0-21:0
3500,gbDZhohLAOL1ufdVWHMTxQ,Pizza Hut,4710 Baum Blvd,Pittsburgh,PA,40.4538812,-79.94957048,2,11,1,"Chicken Wings, Restaurants, Pizza, Italian",TRUE,TRUE,TRUE,,1,11:0-22:0,11:0-22:0,11:0-22:0,11:0-22:0,11:0-22:0,11:0-22:0,11:0-22:0
3521,DUYO3j2zAjsQ94HYqbFsCA,Gaby Et Jules,6006 Penn Ave,Pittsburgh,PA,40.4610119,-79.9243986,4.5,5,1,"Specialty Food, Food, Restaurants, Bakeries, Chocolatiers & Shops, Cafes, Desserts, Macarons",,,,,,8:30-21:30,8:30-21:30,8:30-21:30,8:30-21:30,8:30-21:30,8:30-21:30,8:30-21:30
3555,Zp2vJfHciG9IiXfmtH5Wdw,Beta Bites,338 S Bouquet St,Pittsburgh,PA,40.4400088,-79.9532523,4,86,1,"Sandwiches, American (New), Moroccan, Mediterranean, Restaurants, Pizza, Seafood, American (Traditional)",TRUE,TRUE,TRUE,,1,11:0-23:0,11:0-23:0,11:0-23:0,11:0-23:0,11:0-3:0,11:0-3:0,11:0-19:0
3692,P7Vk5j_XzWl-9kS5qZd9aQ,Fat Angelo's Pizzeria - Pittsburgh,511 E Carson St,Pittsburgh,PA,40.4288129,-79.994599,3,20,1,"Pizza, Restaurants",,,,,,10:0-22:30,10:0-22:30,10:0-22:30,10:0-22:30,10:0-0:30,10:0-0:30,10:0-22:0
3695,P1a2WApEoMb65s14RmqV2g,Buford's Kitchen,1014 5th Ave,Pittsburgh,PA,40.43872706,-79.9904322,2.5,114,1,"Burgers, Bars, Nightlife, American (Traditional), Restaurants",TRUE,FALSE,TRUE,,2,0:0-0:0,11:0-20:0,11:0-20:0,11:0-20:0,11:0-20:0,11:0-20:0,11:0-20:0
3946,pWJoOfYUWSkro0WNxHspFg,Claudio's Pizzeria & Ristorante,1883 Painter's Run Rd,Pittsburgh,PA,40.3630141,-80.0854621,4.5,37,1,"Event Planning & Services, Caterers, Italian, Pizza, Restaurants",TRUE,TRUE,TRUE,,2,,11:0-21:0,11:0-21:0,11:0-21:0,11:0-22:0,11:0-22:0,16:0-21:0
4079,995cDn3wIwi4pw4N_uLSqw,Starbucks,"1000 Ross Park Mall Drive, K108B",Pittsburgh,PA,40.542894,-80.008204,4,5,1,"Food, Coffee & Tea, Cafes, Shopping, Restaurants",TRUE,FALSE,,,2,8:0-21:0,8:0-21:0,8:0-21:0,8:0-21:30,8:0-21:30,9:30-18:30,8:0-21:0
4184,0PVxodALQu-soL5J8bjerQ,Ritter's Diner,5221 Baum Blvd,Pittsburgh,PA,40.4564001,-79.9412396,3.5,254,1,"Restaurants, American (Traditional), Diners, Breakfast & Brunch",FALSE,TRUE,TRUE,,1,6:0-22:0,6:0-22:0,6:0-22:0,0:0-0:0,0:0-0:0,0:0-0:0,0:0-22:0
4192,TYZIMuHwhZo_Hizenmf8Pg,BZ's Bar and Grill,140 Federal St,Pittsburgh,PA,40.448071,-80.0038351,3.5,82,0,"Restaurants, Bars, Nightlife, American (New)",TRUE,TRUE,FALSE,,2,11:0-2:0,11:0-2:0,11:0-2:0,11:0-2:0,11:0-2:0,11:0-2:0,11:0-2:0
4296,R7eLlAdeIYsxux_Vm0l5sg,Carbonara's Restaurant,250 Mount Lebanon Blvd,Pittsburgh,PA,40.3679633,-80.0370263,3.5,74,1,"Italian, Restaurants, Pizza",TRUE,TRUE,TRUE,,2,11:0-23:0,11:0-23:0,11:0-23:0,11:0-23:0,11:0-23:0,11:0-23:0,11:0-23:0
4389,lpxj6LFir23Ds6swW8a6fg,Grandview Saloon,1212 Grandview Ave,Pittsburgh,PA,40.4381076,-80.0185368,3,172,1,"Restaurants, Steakhouses, Seafood, American (Traditional), Wine Bars, Caterers, Lounges, Event Planning & Services, Nightlife, Bars",TRUE,TRUE,TRUE,,2,11:30-21:0,11:30-21:0,11:30-21:0,11:30-21:0,11:30-22:0,11:30-22:0,11:30-21:0
4531,#NAME?,Sola Pizza,1417 E Carson St,Pittsburgh,PA,40.4289664,-79.9834837,3.5,32,0,"Food, Food Delivery Services, Sandwiches, Restaurants, Pizza",TRUE,TRUE,TRUE,,1,16:0-0:0,16:0-0:0,16:0-0:0,16:0-3:0,16:0-3:0,16:0-3:0,11:0-0:0
4615,9veE8VGnlmErycp0_ubVeg,Hummus Pittsburgh,,Pittsburgh,PA,40.4475255,-79.9933976,4.5,6,1,"Restaurants, Food, Food Trucks, Middle Eastern, Specialty Food",TRUE,,,,,0:0-0:0,0:0-0:0,0:0-0:0,0:0-0:0,0:0-0:0,0:0-0:0,0:0-0:0
4806,yU_z2d0TnLBBFEEYMYhKJA,Latitude 360,200 Quinn Dr,Pittsburgh,PA,40.445902,-80.17785783,2.5,88,0,"Nightlife, Bars, Bowling, Active Life, Arcades, Arts & Entertainment, American (New), Restaurants",TRUE,FALSE,TRUE,,2,11:0-0:0,11:0-0:0,11:0-0:0,11:0-0:0,11:0-2:0,11:0-2:0,11:0-0:0
4817,WXd7r6Yvjxhyo1L6R3lQMA,Mario's South Side Saloon,1514 E Carson St,Pittsburgh,PA,40.4286863,-79.9828571,3.5,112,1,"Restaurants, American (New), American (Traditional), Sports Bars, Bars, Nightlife",TRUE,FALSE,FALSE,,2,11:0-2:0,11:0-2:0,11:0-2:0,11:0-2:0,11:0-2:0,11:0-2:0,11:0-2:0
4943,wjLgM9Ybe5shoUPRrGMmsQ,Coca Cafe,3811 Butler St,Pittsburgh,PA,40.4672287,-79.9642028,3,532,1,"Restaurants, Breakfast & Brunch, Thai, Food, American (New), Coffee & Tea",TRUE,TRUE,TRUE,,2,,8:0-15:0,8:0-15:0,8:0-15:0,8:0-15:0,9:0-16:0,9:0-14:0
5023,#NAME?,The Map Room Grill & Bar,1126 S Braddock Ave,Pittsburgh,PA,40.43219906,-79.89372119,3.5,34,1,"Sandwiches, Seafood, Gastropubs, Restaurants, American (New)",TRUE,TRUE,FALSE,,2,15:0-2:0,15:0-2:0,15:0-2:0,15:0-2:0,15:0-2:0,15:0-2:0,15:0-2:0
5063,ysJo5Jdo29XOBCnKrbUKWg,Paris 66,6018 Centre Ave,Pittsburgh,PA,40.459956,-79.92427,3.5,254,1,"Breakfast & Brunch, Gluten-Free, Brasseries, Food, Restaurants, French, American (New), Creperies",TRUE,TRUE,FALSE,,2,0:0-0:0,11:0-21:0,11:0-21:0,11:0-21:0,11:0-22:0,11:0-22:0,17:0-22:0
5145,4MyZEzAuoh8oXPzCEhw_FA,Lotsa Stone Fired Pizza,1733 E Carson St,Pittsburgh,PA,40.42898361,-79.98086899,4,15,1,"Restaurants, Pizza, Salad, Chicken Wings",TRUE,,,,,0:0-0:0,11:0-3:0,11:0-0:0,11:0-3:0,11:0-3:0,11:0-3:0,11:0-0:0
5241,35KvoWbA3kEsdckaWqG3OA,Masala House Indian Bistro,5102 Baum Blvd,Pittsburgh,PA,40.4552906,-79.9436163,4.5,106,1,"Vegetarian, Restaurants, Indian, Halal",TRUE,TRUE,,,,,11:0-22:0,11:0-22:0,11:0-22:0,11:0-22:0,11:0-22:0,11:0-22:0
5257,Ul6JwluSTm12PVDIqnNaTg,Kaya,2000 Smallman St,Pittsburgh,PA,40.4516553,-79.9844699,4,718,1,"Caribbean, Latin American, Nightlife, Restaurants, Bars",TRUE,TRUE,FALSE,,2,11:30-22:0,11:30-22:0,11:30-22:0,11:30-22:0,11:30-23:0,11:30-23:0,11:0-21:0
5400,zpIybGTZ0RqArG8BOX0ALQ,Franco's Restaurant,2501 Freeport Rd,Pittsburgh,PA,40.5341821,-79.8448086,3.5,7,0,"Restaurants, Italian",TRUE,,TRUE,,3,11:0-22:0,11:0-22:0,11:0-22:0,11:0-22:0,11:0-23:0,15:0-23:0,
5404,Jz4LZvTibMEzXx8nZX5Q7g,Right By Nature Hometown Market,2305 Smallman St,Pittsburgh,PA,40.4535411,-79.9824409,3.5,20,0,"Health Markets, Specialty Food, Grocery, Restaurants, Sandwiches, Food",TRUE,,,,2,8:0-20:0,8:0-20:0,8:0-20:0,8:0-20:0,8:0-20:0,8:0-20:0,8:0-20:0
5436,TFdLM8R_7Pf1xVeBNKl0hg,Casbah,229 S Highland Ave,Pittsburgh,PA,40.4581413,-79.9248403,4,426,1,"Diners, Bars, Nightlife, Greek, Cocktail Bars, Wine Bars, Mediterranean, Restaurants, Breakfast & Brunch",TRUE,TRUE,FALSE,,3,11:30-22:0,11:30-22:0,11:30-22:0,11:30-22:0,11:30-23:0,11:30-23:0,11:0-21:0
5642,KEaCHdsY7w7CBsZ6h2dLeQ,The Green Mango Noodle Hut,1109 S Braddock Ave,Pittsburgh,PA,40.4325714,-79.8937279,4,47,0,"Restaurants, Thai",TRUE,,TRUE,,2,11:0-21:0,11:0-21:0,11:0-21:0,11:0-21:0,11:0-22:0,11:0-22:0,12:0-20:0
5739,fiRbomFAAtfTYOTTtnDUcA,Caliente Pizza & Drafthouse,4624 Liberty Ave,Pittsburgh,PA,40.4620358,-79.9501025,3,309,1,"Salad, Chicken Wings, Pizza, Food, Restaurants, Nightlife, Burgers, Sandwiches, Cocktail Bars, Bars, Beer Bar",TRUE,TRUE,FALSE,,2,11:0-2:0,11:0-2:0,11:0-2:0,11:0-2:0,11:0-2:0,11:0-2:0,11:0-2:0
5873,ZfARN3QejrWsDJu3OtRdkg,Blinky's Noble Grill & Bar,2350 Noblestown Rd,Pittsburgh,PA,40.4276163,-80.0555006,3,23,1,"American (Traditional), Restaurants, Nightlife, Bars",TRUE,FALSE,FALSE,,1,11:0-2:0,11:0-2:0,11:0-2:0,11:0-2:0,11:0-2:0,11:0-2:0,11:0-2:0
6042,dAgImz1R-BKwR3sYhbPqRw,Thai Touch Kitchen,665 Washington Rd,Pittsburgh,PA,40.3813039,-80.0439306,4,68,1,"Thai, Restaurants",TRUE,TRUE,TRUE,,2,11:0-21:0,11:0-21:0,11:0-21:0,11:0-21:0,11:0-22:0,11:0-22:0,12:0-21:0
6052,nkDSE-yhvLX4ij5fSzvb5Q,Tonic Bar & Grill,971 Liberty Ave,Pittsburgh,PA,40.4438693,-79.995512,3.5,110,0,"Restaurants, Cocktail Bars, Nightlife, Bars, American (Traditional)",TRUE,TRUE,FALSE,,2,11:0-0:0,11:0-0:0,11:0-0:0,11:0-2:0,11:0-2:0,11:0-2:0,
6098,eva56motCJcevOwKzyQO1g,Schenley Park Visitors Center,101 Panther Hollow Rd,Pittsburgh,PA,40.43754064,-79.94888306,5,12,1,"Tennis, Playgrounds, Travel Services, Community Service/Non-Profit, Swimming Pools, Skating Rinks, Parks, Hiking, Restaurants, Hotels & Travel, Visitor Centers, Active Life, Beaches, Local Services, Cafes",TRUE,TRUE,TRUE,,,9:0-17:0,9:0-17:0,9:0-17:0,9:0-17:0,9:0-17:0,,
6142,UPKWR2kaOne5d4AmdqdZlg,Two Louie's Market,1233 Penn Ave,Pittsburgh,PA,40.4464569,-79.9917592,4,35,1,"Sandwiches, Restaurants",TRUE,TRUE,TRUE,,1,7:0-18:0,7:0-18:0,7:0-18:0,7:0-18:0,7:0-18:0,,
6225,7PRse3yCQbEprAj1DWrEQQ,Dish Osteria and Bar,128 S 17th St,Pittsburgh,PA,40.4275026,-79.9822893,4.5,207,1,"Italian, Restaurants",TRUE,FALSE,FALSE,,3,,17:0-0:0,17:0-0:0,17:0-0:0,17:0-0:0,17:0-0:0,
6344,XcBRdmFOBEKmgKbPvz5s0g,Burger King,1901 Route 286,Pittsburgh,PA,40.45122826,-79.71398991,2,3,1,"Restaurants, Fast Food, Burgers",,,TRUE,,1,6:0-22:0,6:0-22:0,6:0-22:0,6:0-22:0,6:0-22:0,6:0-22:0,6:0-22:0
6369,462vn0tiPlmWRcP71yYOTQ,Tsuki Japanese,11655 Frankstown Rd,Pittsburgh,PA,40.46618668,-79.82695816,4,42,0,"Restaurants, Japanese, Sushi Bars",TRUE,FALSE,TRUE,,2,11:0-22:0,11:0-22:0,11:0-22:0,11:0-22:0,11:0-23:0,11:0-23:0,12:0-21:30
6473,8aykSzSqGPYUpMQbO2DPdA,Sukhothai Bistro,5813 Forbes Ave,Pittsburgh,PA,40.4381461,-79.9223846,3.5,77,0,"Restaurants, Asian Fusion, Thai",TRUE,TRUE,TRUE,,2,11:0-22:0,11:0-22:0,11:0-22:0,11:0-22:0,11:0-22:0,11:0-22:0,11:0-21:30
6507,5oA6zlmJ4jQREDH6dNCq6w,The Alcove,"875 Greentree Rd, Ste 106 Bldg 4",Pittsburgh,PA,40.42666851,-80.04064987,4.5,41,1,"Delis, Sandwiches, Fast Food, Restaurants, American (Traditional), Breakfast & Brunch, Food, Diners",TRUE,TRUE,TRUE,,1,8:30-15:0,8:30-15:0,8:30-15:0,8:30-15:0,8:30-15:0,,
6835,stD-LTFFwlmBdzU-0aBntw,Little Nipper's Pizza II,216 N Craig St,Pittsburgh,PA,40.45063174,-79.9510332,3,49,1,"Italian, Pizza, Restaurants",TRUE,TRUE,TRUE,,2,11:0-0:0,11:0-0:0,11:0-0:0,11:0-0:0,11:0-2:0,11:0-2:0,11:0-0:0
6854,F9IJ3EddoyW89O0DFikPTQ,Sunseri Jimmy & Nino,1901 Penn Ave,Pittsburgh,PA,40.4509544,-79.9845939,4.5,57,1,"Food, Ethnic Food, Specialty Food, Sandwiches, Restaurants, Imported Food, Italian",TRUE,TRUE,TRUE,,1,8:30-15:30,8:30-15:30,8:30-15:30,8:30-15:30,8:30-15:30,8:0-16:0,8:45-15:0
6875,0pi1DQ3N8gC6jhdHfDWEMA,MR Bulgogi,,Pittsburgh,PA,40.4720642,-79.9136731,4.5,21,1,"Food Trucks, Korean, Asian Fusion, Street Vendors, Food, Restaurants, Barbeque",TRUE,TRUE,TRUE,,2,,,,,17:15-21:15,12:30-21:15,
6889,CK-Gv3vqIlWOrKP4fhT8_g,D's Six Pax & Dogz,1118 S Braddock Ave,Pittsburgh,PA,40.432083,-79.893639,4,387,1,"Hot Dogs, American (Traditional), Food, Restaurants, Beer, Wine & Spirits, Bars, Pubs, Nightlife",TRUE,TRUE,TRUE,FALSE,2,0:0-0:0,11:0-19:0,11:0-19:0,11:0-0:0,11:0-0:0,11:0-0:0,11:0-23:0
6903,mJ24zWo_FdE3_9v24sqFiw,Vento's Pizza,420 N Highland Ave,Pittsburgh,PA,40.4652748,-79.9221357,3.5,23,1,"Sandwiches, Salad, Pizza, Restaurants, Italian",FALSE,TRUE,TRUE,,1,8:0-20:0,8:0-20:0,8:0-20:0,8:0-20:0,8:0-20:0,8:0-20:0,
7072,3ed7T7HvUJUnPf6jDmys9A,Fun Asian Bistro,11655 Frankstown Rd,Pittsburgh,PA,40.4662589,-79.8270294,5,56,1,"Asian Fusion, Restaurants",TRUE,TRUE,TRUE,FALSE,,0:0-0:0,11:0-21:30,11:0-21:30,11:0-21:30,14:0-22:0,12:0-22:0,12:0-21:0
7083,QXKN5MYb5O1sg6-G2pwTzg,Shaka,200 Children's Way,Pittsburgh,PA,40.4515085,-80.0060399,4,24,1,"Bars, Nightlife, Salad, Restaurants, Asian Fusion, Seafood, Hawaiian, Cocktail Bars",TRUE,,,,2,0:0-0:0,11:0-21:0,11:0-21:0,11:0-21:0,11:0-22:0,10:0-22:0,10:0-21:0
